Date,Value
2016-05-31,99.70847
2016-06-30,99.62653
2016-07-31,99.57457
2016-08-31,99.56812
2016-09-30,99.59671
2016-10-31,99.63138
2016-11-30,99.6449
2016-12-31,99.62934
2017-01-31,99.58643
2017-02-28,99.52096
2017-03-31,99.45205
2017-04-30,99.41908
2017-05-31,99.44595
2017-06-30,99.52573
2017-07-31,99.63466
2017-08-31,99.73963
2017-09-30,99.83436
2017-10-31,99.92213
2017-11-30,99.9947
2017-12-31,100.0382
2018-01-31,100.0657
2018-02-28,100.0908
